timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-03-29T00:00:00.000Z";"2025-03-29T23:59:59.999Z";"2025-03-29T00:43:00.000Z";"2025-03-29T17:19:00.000Z";"2781";0.7055488031;0.7111864231;0.6611845146;0.673921777;643130133.95;23749986461.55;"2025-03-29T23:59:59.999Z"
"2025-03-28T00:00:00.000Z";"2025-03-28T23:59:59.999Z";"2025-03-28T01:46:00.000Z";"2025-03-28T16:53:00.000Z";"2781";0.7376730969;0.7448448583;0.6906645741;0.7055511771;789537386.7;24865024425.31;"2025-03-28T23:59:59.999Z"
"2025-03-27T00:00:00.000Z";"2025-03-27T23:59:59.999Z";"2025-03-27T03:49:00.000Z";"2025-03-27T13:43:00.000Z";"2781";0.728077307;0.7435970736;0.7227587298;0.7376724358;574512540.05;25997152132.35;"2025-03-27T23:59:59.999Z"
"2025-03-26T00:00:00.000Z";"2025-03-26T23:59:59.999Z";"2025-03-26T11:16:00.000Z";"2025-03-26T19:17:00.000Z";"2781";0.7451933323;0.7727813666;0.7219314767;0.7280623357;937295461.11;25658976304.67;"2025-03-26T23:59:59.999Z"
"2025-03-25T00:00:00.000Z";"2025-03-25T23:59:59.999Z";"2025-03-25T15:13:00.000Z";"2025-03-25T04:05:00.000Z";"2781";0.7309957877;0.7653404528;0.7222325815;0.7451995806;1066564497.94;26262181052.08;"2025-03-25T23:59:59.999Z"
"2025-03-24T00:00:00.000Z";"2025-03-24T23:59:59.999Z";"2025-03-24T20:27:00.000Z";"2025-03-24T02:03:00.000Z";"2781";0.7095031412;0.7440343788;0.7067487264;0.7309947433;894622894.16;25759517479.76;"2025-03-24T23:59:59.999Z"
"2025-03-23T00:00:00.000Z";"2025-03-23T23:59:59.999Z";"2025-03-23T11:29:00.000Z";"2025-03-23T19:19:00.000Z";"2781";0.7009408198;0.715165254;0.6932544643;0.7095080193;585188487.33;25002139378.32;"2025-03-23T23:59:59.999Z"
"2025-03-22T00:00:00.000Z";"2025-03-22T23:59:59.999Z";"2025-03-22T09:49:00.000Z";"2025-03-22T23:16:00.000Z";"2781";0.7051200639;0.7152047582;0.6991219224;0.7009408922;458125954.01;24700412237.92;"2025-03-22T23:59:59.999Z"
"2025-03-21T00:00:00.000Z";"2025-03-21T23:59:59.999Z";"2025-03-21T02:04:00.000Z";"2025-03-21T16:07:00.000Z";"2781";0.7174888047;0.7261016101;0.7017553916;0.7051166988;660902107.82;24847684372.44;"2025-03-21T23:59:59.999Z"
"2025-03-20T00:00:00.000Z";"2025-03-20T23:59:59.999Z";"2025-03-20T15:01:00.000Z";"2025-03-20T16:55:00.000Z";"2781";0.744231679;0.7522353883;0.713538723;0.717517074;850609829.59;25283545701.52;"2025-03-20T23:59:59.999Z"
"2025-03-19T00:00:00.000Z";"2025-03-19T23:59:59.999Z";"2025-03-19T23:56:00.000Z";"2025-03-19T00:07:00.000Z";"2781";0.702084012;0.7460221462;0.7012724043;0.7442001109;1096739941.43;26222852301.01;"2025-03-19T23:59:59.999Z"
